"","year","block","plot_letter","plot_number","round","species_long","species_flarea","block_plot","block_plot_round","block_plot_round_year","species_block_plot_round_year"
"33",1,2,"D",14,3,"Achillea_millefolium",2.1237166338267,"2,D,14","2,D,14,3","2,D,14,3,1","Achillea_millefolium,2,D,14,3,1"
"34",1,2,"D",15,3,"Achillea_millefolium",5.73403491133209,"2,D,15","2,D,15,3","2,D,15,3,1","Achillea_millefolium,2,D,15,3,1"
"35",1,2,"D",15,4,"Achillea_millefolium",6.15877823809743,"2,D,15","2,D,15,4","2,D,15,4,1","Achillea_millefolium,2,D,15,4,1"
"36",1,2,"D",3,3,"Achillea_millefolium",4.88454825780141,"2,D,3","2,D,3,3","2,D,3,3,1","Achillea_millefolium,2,D,3,3,1"
"37",1,2,"D",4,3,"Achillea_millefolium",2.76083162397471,"2,D,4","2,D,4,3","2,D,4,3,1","Achillea_millefolium,2,D,4,3,1"
"38",1,3,"A",10,3,"Achillea_millefolium",331.724538203731,"3,A,10","3,A,10,3","3,A,10,3,1","Achillea_millefolium,3,A,10,3,1"
"39",1,3,"A",13,3,"Achillea_millefolium",200.903593560006,"3,A,13","3,A,13,3","3,A,13,3,1","Achillea_millefolium,3,A,13,3,1"
"40",1,3,"A",15,3,"Achillea_millefolium",294.347125448381,"3,A,15","3,A,15,3","3,A,15,3,1","Achillea_millefolium,3,A,15,3,1"
"41",1,3,"A",2,3,"Achillea_millefolium",84.0991786995373,"3,A,2","3,A,2,3","3,A,2,3,1","Achillea_millefolium,3,A,2,3,1"
"42",1,3,"A",4,3,"Achillea_millefolium",289.674948853962,"3,A,4","3,A,4,3","3,A,4,3,1","Achillea_millefolium,3,A,4,3,1"
"43",1,3,"A",5,3,"Achillea_millefolium",434.512423280943,"3,A,5","3,A,5,3","3,A,5,3,1","Achillea_millefolium,3,A,5,3,1"
"44",1,3,"A",5,5,"Achillea_millefolium",7.64537988177612,"3,A,5","3,A,5,5","3,A,5,5,1","Achillea_millefolium,3,A,5,5,1"
"45",1,3,"A",6,3,"Achillea_millefolium",238.281006315356,"3,A,6","3,A,6,3","3,A,6,3,1","Achillea_millefolium,3,A,6,3,1"
"46",1,3,"B",11,3,"Achillea_millefolium",4.67217659441874,"3,B,11","3,B,11,3","3,B,11,3,1","Achillea_millefolium,3,B,11,3,1"
"47",1,3,"B",11,5,"Achillea_millefolium",1.27422998029602,"3,B,11","3,B,11,5","3,B,11,5,1","Achillea_millefolium,3,B,11,5,1"
"48",1,3,"B",5,3,"Achillea_millefolium",107.460061671631,"3,B,5","3,B,5,3","3,B,5,3,1","Achillea_millefolium,3,B,5,3,1"
"49",1,3,"B",9,3,"Achillea_millefolium",135.493121238143,"3,B,9","3,B,9,3","3,B,9,3,1","Achillea_millefolium,3,B,9,3,1"
"50",1,3,"C",1,3,"Achillea_millefolium",42.0495893497687,"3,C,1","3,C,1,3","3,C,1,3,1","Achillea_millefolium,3,C,1,3,1"
"51",1,3,"C",9,3,"Achillea_millefolium",60.7382957274436,"3,C,9","3,C,9,3","3,C,9,3,1","Achillea_millefolium,3,C,9,3,1"
"52",1,3,"D",1,3,"Achillea_millefolium",79.4270021051186,"3,D,1","3,D,1,3","3,D,1,3,1","Achillea_millefolium,3,D,1,3,1"
"53",1,3,"D",10,3,"Achillea_millefolium",23.3608829720937,"3,D,10","3,D,10,3","3,D,10,3,1","Achillea_millefolium,3,D,10,3,1"
"54",1,3,"D",14,3,"Achillea_millefolium",144.837474426981,"3,D,14","3,D,14,3","3,D,14,3,1","Achillea_millefolium,3,D,14,3,1"
"55",1,3,"D",15,3,"Achillea_millefolium",285.002772259543,"3,D,15","3,D,15,3","3,D,15,3,1","Achillea_millefolium,3,D,15,3,1"
"56",1,3,"D",6,3,"Achillea_millefolium",130.820944643725,"3,D,6","3,D,6,3","3,D,6,3,1","Achillea_millefolium,3,D,6,3,1"
"57",1,4,"A",1,3,"Achillea_millefolium",191.559240371168,"4,A,1","4,A,1,3","4,A,1,3,1","Achillea_millefolium,4,A,1,3,1"
"58",1,4,"A",1,4,"Achillea_millefolium",60.7382957274436,"4,A,1","4,A,1,4","4,A,1,4,1","Achillea_millefolium,4,A,1,4,1"
"59",1,4,"A",10,3,"Achillea_millefolium",196.231416965587,"4,A,10","4,A,10,3","4,A,10,3,1","Achillea_millefolium,4,A,10,3,1"
"60",1,4,"A",10,4,"Achillea_millefolium",14.0165297832562,"4,A,10","4,A,10,4","4,A,10,4,1","Achillea_millefolium,4,A,10,4,1"
"61",1,4,"A",11,3,"Achillea_millefolium",4.67217659441874,"4,A,11","4,A,11,3","4,A,11,3,1","Achillea_millefolium,4,A,11,3,1"
"62",1,4,"A",4,3,"Achillea_millefolium",51.3939425386061,"4,A,4","4,A,4,3","4,A,4,3,1","Achillea_millefolium,4,A,4,3,1"
"63",1,4,"A",8,3,"Achillea_millefolium",14.0165297832562,"4,A,8","4,A,8,3","4,A,8,3,1","Achillea_millefolium,4,A,8,3,1"
"64",1,4,"B",11,3,"Achillea_millefolium",23.3608829720937,"4,B,11","4,B,11,3","4,B,11,3,1","Achillea_millefolium,4,B,11,3,1"
"65",1,4,"B",12,3,"Achillea_millefolium",228.936653126518,"4,B,12","4,B,12,3","4,B,12,3,1","Achillea_millefolium,4,B,12,3,1"
"66",1,4,"B",15,3,"Achillea_millefolium",1.69897330706136,"4,B,15","4,B,15,3","4,B,15,3,1","Achillea_millefolium,4,B,15,3,1"
"67",1,4,"B",2,3,"Achillea_millefolium",616.727310463274,"4,B,2","4,B,2,3","4,B,2,3,1","Achillea_millefolium,4,B,2,3,1"
"68",1,4,"B",6,4,"Achillea_millefolium",0.21237166338267,"4,B,6","4,B,6,4","4,B,6,4,1","Achillea_millefolium,4,B,6,4,1"
"69",1,4,"B",7,4,"Achillea_millefolium",9.34435318883748,"4,B,7","4,B,7,4","4,B,7,4,1","Achillea_millefolium,4,B,7,4,1"
"70",1,4,"B",9,4,"Achillea_millefolium",4.67217659441874,"4,B,9","4,B,9,4","4,B,9,4,1","Achillea_millefolium,4,B,9,4,1"
"71",1,4,"C",1,3,"Achillea_millefolium",51.3939425386061,"4,C,1","4,C,1,3","4,C,1,3,1","Achillea_millefolium,4,C,1,3,1"
"72",1,4,"C",11,3,"Achillea_millefolium",14.0165297832562,"4,C,11","4,C,11,3","4,C,11,3,1","Achillea_millefolium,4,C,11,3,1"
"73",1,4,"C",12,3,"Achillea_millefolium",172.870533993493,"4,C,12","4,C,12,3","4,C,12,3,1","Achillea_millefolium,4,C,12,3,1"
"74",1,4,"C",2,3,"Achillea_millefolium",228.936653126518,"4,C,2","4,C,2,3","4,C,2,3,1","Achillea_millefolium,4,C,2,3,1"
"75",1,4,"D",12,3,"Achillea_millefolium",154.181827615818,"4,D,12","4,D,12,3","4,D,12,3,1","Achillea_millefolium,4,D,12,3,1"
"76",1,4,"D",14,3,"Achillea_millefolium",443.85677646978,"4,D,14","4,D,14,3","4,D,14,3,1","Achillea_millefolium,4,D,14,3,1"
"77",1,5,"A",12,3,"Achillea_millefolium",224.2644765321,"5,A,12","5,A,12,3","5,A,12,3,1","Achillea_millefolium,5,A,12,3,1"
"78",1,5,"A",13,3,"Achillea_millefolium",28.0330595665124,"5,A,13","5,A,13,3","5,A,13,3,1","Achillea_millefolium,5,A,13,3,1"
"79",1,5,"A",14,3,"Achillea_millefolium",294.347125448381,"5,A,14","5,A,14,3","5,A,14,3,1","Achillea_millefolium,5,A,14,3,1"
"80",1,5,"A",15,3,"Achillea_millefolium",224.2644765321,"5,A,15","5,A,15,3","5,A,15,3,1","Achillea_millefolium,5,A,15,3,1"
"81",1,5,"A",9,3,"Achillea_millefolium",98.1157084827935,"5,A,9","5,A,9,3","5,A,9,3,1","Achillea_millefolium,5,A,9,3,1"
"82",1,5,"B",12,3,"Achillea_millefolium",18.688706377675,"5,B,12","5,B,12,3","5,B,12,3,1","Achillea_millefolium,5,B,12,3,1"
"83",1,5,"B",13,3,"Achillea_millefolium",32.7052361609312,"5,B,13","5,B,13,3","5,B,13,3,1","Achillea_millefolium,5,B,13,3,1"
"84",1,5,"B",14,3,"Achillea_millefolium",265.464579228337,"5,B,14","5,B,14,3","5,B,14,3,1","Achillea_millefolium,5,B,14,3,1"
"85",1,5,"B",2,3,"Achillea_millefolium",121.476591454887,"5,B,2","5,B,2,3","5,B,2,3,1","Achillea_millefolium,5,B,2,3,1"
"86",1,5,"B",3,3,"Achillea_millefolium",14.0165297832562,"5,B,3","5,B,3,3","5,B,3,3,1","Achillea_millefolium,5,B,3,3,1"
"87",1,5,"C",1,3,"Achillea_millefolium",182.214887182331,"5,C,1","5,C,1,3","5,C,1,3,1","Achillea_millefolium,5,C,1,3,1"
"88",1,5,"C",10,3,"Achillea_millefolium",46.7217659441874,"5,C,10","5,C,10,3","5,C,10,3,1","Achillea_millefolium,5,C,10,3,1"
"89",1,5,"C",11,3,"Achillea_millefolium",10.6185831691335,"5,C,11","5,C,11,3","5,C,11,3,1","Achillea_millefolium,5,C,11,3,1"
"90",1,5,"C",11,4,"Achillea_millefolium",0.84948665353068,"5,C,11","5,C,11,4","5,C,11,4,1","Achillea_millefolium,5,C,11,4,1"
"91",1,5,"C",12,3,"Achillea_millefolium",79.6393737685012,"5,C,12","5,C,12,3","5,C,12,3,1","Achillea_millefolium,5,C,12,3,1"
"92",1,5,"C",13,3,"Achillea_millefolium",42.474332676534,"5,C,13","5,C,13,3","5,C,13,3,1","Achillea_millefolium,5,C,13,3,1"
"93",1,5,"C",14,3,"Achillea_millefolium",419.434035180773,"5,C,14","5,C,14,3","5,C,14,3,1","Achillea_millefolium,5,C,14,3,1"
"94",1,5,"C",6,3,"Achillea_millefolium",112.13223826605,"5,C,6","5,C,6,3","5,C,6,3,1","Achillea_millefolium,5,C,6,3,1"
"95",1,5,"C",9,3,"Achillea_millefolium",14.0165297832562,"5,C,9","5,C,9,3","5,C,9,3,1","Achillea_millefolium,5,C,9,3,1"
"96",1,5,"D",1,3,"Achillea_millefolium",299.019302042799,"5,D,1","5,D,1,3","5,D,1,3,1","Achillea_millefolium,5,D,1,3,1"
"97",1,5,"D",11,3,"Achillea_millefolium",32.7052361609312,"5,D,11","5,D,11,3","5,D,11,3,1","Achillea_millefolium,5,D,11,3,1"
"98",1,5,"D",12,3,"Achillea_millefolium",719.515195540486,"5,D,12","5,D,12,3","5,D,12,3,1","Achillea_millefolium,5,D,12,3,1"
"99",1,5,"D",14,3,"Achillea_millefolium",985.829261422354,"5,D,14","5,D,14,3","5,D,14,3,1","Achillea_millefolium,5,D,14,3,1"
"100",1,5,"D",14,4,"Achillea_millefolium",13.8041581198736,"5,D,14","5,D,14,4","5,D,14,4,1","Achillea_millefolium,5,D,14,4,1"
"101",1,5,"D",15,3,"Achillea_millefolium",65.4104723218624,"5,D,15","5,D,15,3","5,D,15,3,1","Achillea_millefolium,5,D,15,3,1"
"102",1,5,"D",2,3,"Achillea_millefolium",663.449076407461,"5,D,2","5,D,2,3","5,D,2,3,1","Achillea_millefolium,5,D,2,3,1"
"103",1,6,"A",13,3,"Achillea_millefolium",803.614374240023,"6,A,13","6,A,13,3","6,A,13,3,1","Achillea_millefolium,6,A,13,3,1"
"104",1,6,"A",2,3,"Achillea_millefolium",2116.49599727169,"6,A,2","6,A,2,3","6,A,2,3,1","Achillea_millefolium,6,A,2,3,1"
"105",1,6,"A",2,5,"Achillea_millefolium",0.42474332676534,"6,A,2","6,A,2,5","6,A,2,5,1","Achillea_millefolium,6,A,2,5,1"
"106",1,6,"A",4,3,"Achillea_millefolium",93.4435318883748,"6,A,4","6,A,4,3","6,A,4,3,1","Achillea_millefolium,6,A,4,3,1"
"107",1,6,"A",5,3,"Achillea_millefolium",4.67217659441874,"6,A,5","6,A,5,3","6,A,5,3,1","Achillea_millefolium,6,A,5,3,1"
"108",1,6,"A",6,3,"Achillea_millefolium",28.0330595665124,"6,A,6","6,A,6,3","6,A,6,3,1","Achillea_millefolium,6,A,6,3,1"
"109",1,6,"B",11,3,"Achillea_millefolium",46.7217659441874,"6,B,11","6,B,11,3","6,B,11,3,1","Achillea_millefolium,6,B,11,3,1"
"110",1,6,"B",13,3,"Achillea_millefolium",499.922895602805,"6,B,13","6,B,13,3","6,B,13,3,1","Achillea_millefolium,6,B,13,3,1"
"111",1,6,"B",5,3,"Achillea_millefolium",23.3608829720937,"6,B,5","6,B,5,3","6,B,5,3,1","Achillea_millefolium,6,B,5,3,1"
"112",1,6,"C",12,3,"Achillea_millefolium",135.493121238143,"6,C,12","6,C,12,3","6,C,12,3,1","Achillea_millefolium,6,C,12,3,1"
"113",1,6,"C",15,3,"Achillea_millefolium",499.922895602805,"6,C,15","6,C,15,3","6,C,15,3,1","Achillea_millefolium,6,C,15,3,1"
"114",1,6,"D",1,3,"Achillea_millefolium",948.451848667004,"6,D,1","6,D,1,3","6,D,1,3,1","Achillea_millefolium,6,D,1,3,1"
"115",1,6,"D",10,3,"Achillea_millefolium",210.247946748843,"6,D,10","6,D,10,3","6,D,10,3,1","Achillea_millefolium,6,D,10,3,1"
"116",1,6,"D",11,3,"Achillea_millefolium",88.7713552939561,"6,D,11","6,D,11,3","6,D,11,3,1","Achillea_millefolium,6,D,11,3,1"
"117",1,6,"D",12,3,"Achillea_millefolium",630.74384024653,"6,D,12","6,D,12,3","6,D,12,3,1","Achillea_millefolium,6,D,12,3,1"
"118",1,6,"D",13,3,"Achillea_millefolium",121.476591454887,"6,D,13","6,D,13,3","6,D,13,3,1","Achillea_millefolium,6,D,13,3,1"
"119",1,6,"D",14,3,"Achillea_millefolium",714.843018946067,"6,D,14","6,D,14,3","6,D,14,3,1","Achillea_millefolium,6,D,14,3,1"
"120",1,6,"D",14,5,"Achillea_millefolium",1.69897330706136,"6,D,14","6,D,14,5","6,D,14,5,1","Achillea_millefolium,6,D,14,5,1"
"121",1,6,"D",15,3,"Achillea_millefolium",56.0661191330249,"6,D,15","6,D,15,3","6,D,15,3,1","Achillea_millefolium,6,D,15,3,1"
"122",1,6,"D",3,3,"Achillea_millefolium",9.34435318883748,"6,D,3","6,D,3,3","6,D,3,3,1","Achillea_millefolium,6,D,3,3,1"
"123",1,6,"D",5,3,"Achillea_millefolium",56.0661191330249,"6,D,5","6,D,5,3","6,D,5,3,1","Achillea_millefolium,6,D,5,3,1"
"124",1,7,"A",13,3,"Achillea_millefolium",2.1237166338267,"7,A,13","7,A,13,3","7,A,13,3,1","Achillea_millefolium,7,A,13,3,1"
"125",1,7,"B",12,3,"Achillea_millefolium",4.2474332676534,"7,B,12","7,B,12,3","7,B,12,3,1","Achillea_millefolium,7,B,12,3,1"
"126",1,7,"B",2,3,"Achillea_millefolium",7.85775154515879,"7,B,2","7,B,2,3","7,B,2,3,1","Achillea_millefolium,7,B,2,3,1"
"127",1,7,"B",3,3,"Achillea_millefolium",4.67217659441874,"7,B,3","7,B,3,3","7,B,3,3,1","Achillea_millefolium,7,B,3,3,1"
"128",1,7,"B",3,4,"Achillea_millefolium",2.54845996059204,"7,B,3","7,B,3,4","7,B,3,4,1","Achillea_millefolium,7,B,3,4,1"
"129",1,7,"B",5,3,"Achillea_millefolium",1.27422998029602,"7,B,5","7,B,5,3","7,B,5,3,1","Achillea_millefolium,7,B,5,3,1"
"130",1,7,"B",5,5,"Achillea_millefolium",5.09691992118408,"7,B,5","7,B,5,5","7,B,5,5,1","Achillea_millefolium,7,B,5,5,1"
"131",1,7,"C",1,4,"Achillea_millefolium",1.06185831691335,"7,C,1","7,C,1,4","7,C,1,4,1","Achillea_millefolium,7,C,1,4,1"
"132",1,7,"C",11,3,"Achillea_millefolium",98.1157084827935,"7,C,11","7,C,11,3","7,C,11,3,1","Achillea_millefolium,7,C,11,3,1"
"133",1,7,"C",14,3,"Achillea_millefolium",331.724538203731,"7,C,14","7,C,14,3","7,C,14,3,1","Achillea_millefolium,7,C,14,3,1"
"134",1,7,"C",6,3,"Achillea_millefolium",154.181827615818,"7,C,6","7,C,6,3","7,C,6,3,1","Achillea_millefolium,7,C,6,3,1"
"135",1,7,"C",8,3,"Achillea_millefolium",46.7217659441874,"7,C,8","7,C,8,3","7,C,8,3,1","Achillea_millefolium,7,C,8,3,1"
"136",1,7,"C",9,3,"Achillea_millefolium",200.903593560006,"7,C,9","7,C,9,3","7,C,9,3,1","Achillea_millefolium,7,C,9,3,1"
"137",1,7,"C",9,4,"Achillea_millefolium",4.67217659441874,"7,C,9","7,C,9,4","7,C,9,4,1","Achillea_millefolium,7,C,9,4,1"
"138",1,7,"D",14,3,"Achillea_millefolium",228.936653126518,"7,D,14","7,D,14,3","7,D,14,3,1","Achillea_millefolium,7,D,14,3,1"
"139",1,7,"D",14,4,"Achillea_millefolium",9.55672485222015,"7,D,14","7,D,14,4","7,D,14,4,1","Achillea_millefolium,7,D,14,4,1"
"140",1,7,"D",7,3,"Achillea_millefolium",4.67217659441874,"7,D,7","7,D,7,3","7,D,7,3,1","Achillea_millefolium,7,D,7,3,1"
"141",1,1,"B",15,4,"Chamaecrista_fasciculata",7.334940262119,"1,B,15","1,B,15,4","1,B,15,4,1","Chamaecrista_fasciculata,1,B,15,4,1"
"142",1,1,"B",8,5,"Chamaecrista_fasciculata",5.50120519658925,"1,B,8","1,B,8,5","1,B,8,5,1","Chamaecrista_fasciculata,1,B,8,5,1"
"143",1,2,"C",7,4,"Chamaecrista_fasciculata",7.334940262119,"2,C,7","2,C,7,4","2,C,7,4,1","Chamaecrista_fasciculata,2,C,7,4,1"
"144",1,2,"D",5,5,"Chamaecrista_fasciculata",1.83373506552975,"2,D,5","2,D,5,5","2,D,5,5,1","Chamaecrista_fasciculata,2,D,5,5,1"
"145",1,3,"B",12,4,"Chamaecrista_fasciculata",7.334940262119,"3,B,12","3,B,12,4","3,B,12,4,1","Chamaecrista_fasciculata,3,B,12,4,1"
"146",1,3,"D",1,5,"Chamaecrista_fasciculata",1.83373506552975,"3,D,1","3,D,1,5","3,D,1,5,1","Chamaecrista_fasciculata,3,D,1,5,1"
"147",1,4,"B",11,4,"Chamaecrista_fasciculata",1.83373506552975,"4,B,11","4,B,11,4","4,B,11,4,1","Chamaecrista_fasciculata,4,B,11,4,1"
"148",1,4,"C",11,3,"Chamaecrista_fasciculata",1.83373506552975,"4,C,11","4,C,11,3","4,C,11,3,1","Chamaecrista_fasciculata,4,C,11,3,1"
"149",1,4,"C",12,4,"Chamaecrista_fasciculata",3.6674701310595,"4,C,12","4,C,12,4","4,C,12,4,1","Chamaecrista_fasciculata,4,C,12,4,1"
"150",1,4,"D",10,4,"Chamaecrista_fasciculata",31.1734961140058,"4,D,10","4,D,10,4","4,D,10,4,1","Chamaecrista_fasciculata,4,D,10,4,1"
"151",1,4,"D",12,5,"Chamaecrista_fasciculata",3.6674701310595,"4,D,12","4,D,12,5","4,D,12,5,1","Chamaecrista_fasciculata,4,D,12,5,1"
"152",1,5,"A",6,5,"Chamaecrista_fasciculata",3.6674701310595,"5,A,6","5,A,6,5","5,A,6,5,1","Chamaecrista_fasciculata,5,A,6,5,1"
"153",1,5,"A",9,4,"Chamaecrista_fasciculata",5.50120519658925,"5,A,9","5,A,9,4","5,A,9,4,1","Chamaecrista_fasciculata,5,A,9,4,1"
"154",1,5,"B",15,5,"Chamaecrista_fasciculata",1.83373506552975,"5,B,15","5,B,15,5","5,B,15,5,1","Chamaecrista_fasciculata,5,B,15,5,1"
"155",1,5,"C",11,5,"Chamaecrista_fasciculata",1.83373506552975,"5,C,11","5,C,11,5","5,C,11,5,1","Chamaecrista_fasciculata,5,C,11,5,1"
"156",1,5,"D",14,5,"Chamaecrista_fasciculata",7.334940262119,"5,D,14","5,D,14,5","5,D,14,5,1","Chamaecrista_fasciculata,5,D,14,5,1"
"157",1,6,"A",5,4,"Chamaecrista_fasciculata",1.83373506552975,"6,A,5","6,A,5,4","6,A,5,4,1","Chamaecrista_fasciculata,6,A,5,4,1"
"158",1,6,"A",5,5,"Chamaecrista_fasciculata",3.6674701310595,"6,A,5","6,A,5,5","6,A,5,5,1","Chamaecrista_fasciculata,6,A,5,5,1"
"159",1,6,"B",13,4,"Chamaecrista_fasciculata",3.6674701310595,"6,B,13","6,B,13,4","6,B,13,4,1","Chamaecrista_fasciculata,6,B,13,4,1"
"160",1,6,"B",7,4,"Chamaecrista_fasciculata",3.6674701310595,"6,B,7","6,B,7,4","6,B,7,4,1","Chamaecrista_fasciculata,6,B,7,4,1"
"161",1,6,"C",10,5,"Chamaecrista_fasciculata",5.50120519658925,"6,C,10","6,C,10,5","6,C,10,5,1","Chamaecrista_fasciculata,6,C,10,5,1"
"162",1,6,"D",12,4,"Chamaecrista_fasciculata",3.6674701310595,"6,D,12","6,D,12,4","6,D,12,4,1","Chamaecrista_fasciculata,6,D,12,4,1"
"163",1,7,"B",1,4,"Chamaecrista_fasciculata",14.669880524238,"7,B,1","7,B,1,4","7,B,1,4,1","Chamaecrista_fasciculata,7,B,1,4,1"
"164",1,7,"B",4,5,"Chamaecrista_fasciculata",1.83373506552975,"7,B,4","7,B,4,5","7,B,4,5,1","Chamaecrista_fasciculata,7,B,4,5,1"
"165",1,1,"A",11,3,"Coreopsis_lanceolata",104.062115057508,"1,A,11","1,A,11,3","1,A,11,3,1","Coreopsis_lanceolata,1,A,11,3,1"
"166",1,1,"A",3,3,"Coreopsis_lanceolata",20.8124230115016,"1,A,3","1,A,3,3","1,A,3,3,1","Coreopsis_lanceolata,1,A,3,3,1"
"167",1,1,"B",10,3,"Coreopsis_lanceolata",20.8124230115016,"1,B,10","1,B,10,3","1,B,10,3,1","Coreopsis_lanceolata,1,B,10,3,1"
"168",1,1,"D",11,3,"Coreopsis_lanceolata",10.4062115057508,"1,D,11","1,D,11,3","1,D,11,3,1","Coreopsis_lanceolata,1,D,11,3,1"
"169",1,1,"D",8,3,"Coreopsis_lanceolata",10.4062115057508,"1,D,8","1,D,8,3","1,D,8,3,1","Coreopsis_lanceolata,1,D,8,3,1"
"170",1,2,"A",4,3,"Coreopsis_lanceolata",20.8124230115016,"2,A,4","2,A,4,3","2,A,4,3,1","Coreopsis_lanceolata,2,A,4,3,1"
"171",1,2,"B",14,3,"Coreopsis_lanceolata",124.87453806901,"2,B,14","2,B,14,3","2,B,14,3,1","Coreopsis_lanceolata,2,B,14,3,1"
"172",1,2,"C",2,3,"Coreopsis_lanceolata",124.87453806901,"2,C,2","2,C,2,3","2,C,2,3,1","Coreopsis_lanceolata,2,C,2,3,1"
"173",1,2,"D",11,3,"Coreopsis_lanceolata",135.28074957476,"2,D,11","2,D,11,3","2,D,11,3,1","Coreopsis_lanceolata,2,D,11,3,1"
